product_id/id,name
CHO 155.4 ,328
CHO 156.1 ,1130
CHO 156.1 ,160328-1
CHO 156.1 ,328
CHO 156.2 ,1026
CHO 156.2 ,1227
CHO 156.2 ,150423-1
CHO 156.2 ,151227-1
CHO 156.2 ,910
CHO 156.3 ,1203
CHO 156.3 ,1227
CHO 156.3 ,150714-1
CHO 156.3 ,151227-1
CHO 156.3 ,714
CHO 156.4 ,1026
CHO 156.4 ,910
CHO 156.5 ,1227
CHO 156.5 ,916
CHO 157.1 ,805
CHO 157.1 ,912
CHO 157.1 ,1025
CHO 157.1 ,1112
CHO 157.1 ,1216
CHO 157.2 ,530
CHO 157.2 ,1112
CHO 157.2 ,1216
CHO 157.3 ,410
CHO 157.3 ,1028-3
CHO 157.3 ,1112
CHO 157.3 ,1217
CHO 157.4 ,1216
CHO 158.1 ,108
CHO 158.1 ,225
CHO 158.1 ,820
CHO 158.2 ,303
CHO 158.2 ,418
CHO 158.2 ,1026
CHO 158.2 ,1027-1
CHO 158.2 ,1215
CHO 158.3 ,225
CHO 158.3 ,625
CHO 158.4 ,618
CHO 158.4 ,1026
CHO 158.4 ,1215
CHO 159.1 ,622
CHO 159.1 ,706
CHO 159.1 ,807
CHO 159.1 ,1112
CHO 159.1 ,1222
CHO 159.2 ,221
CHO 159.2 ,0817-1
CHO 159.2 ,1112
CHO 159.3 ,706
CHO 159.3 ,811
CHO 159.3 ,1021
CHO 159.3 ,1112
CHO 159.3 ,1222
CHO 159.4 ,706
CHO 159.4 ,817
CHO 159.4 ,1222
CHO 159.4 ,1225
CHO 159.5 ,302
CHO 159.5 ,330
CHO 159.5 ,624
CHO 159.5 ,817
CHO 159.5 ,1021
CHO 159.5 ,1112
CHO 159.6 ,221
CHO 159.6 ,0817-1
CHO 159.6 ,1112
CHO 159.6 ,1222
CHO 159.6 ,1225
CHO 159.7 ,817
CHO 159.7 ,1225
CHO 160.1 ,101
CHO 160.1 ,424
CHO 160.1 ,1114
CHO 160.2 ,101
CHO 160.2 ,424
CHO 160.2 ,705
CHO 160.2 ,1114
CHO 160.2 ,1217
CHO 160.3 ,101
CHO 160.3 ,1217
CHO 161.1 ,402
CHO 161.1 ,630
CHO 161.1 ,1112
CHO 161.1 ,1114
CHO 161.1 ,1217
CHO 161.1 ,1217-1
CHO 161.2 ,529
CHO 161.2 ,1112
CHO 161.2 ,1217
CHO 161.3 ,226
CHO 161.3 ,520
