code,lot
CHA 325.1 ,18
CHA 326.2 ,18
CHO 142.2 ,18
CHR 101.1 ,18
CHR 106.4 ,18
CHR 109.5 ,18
CHR 111.3 ,18
CHR 114.2 ,18
CHR 117.3 ,18
CHR 117.4 ,18
CHS 607.3 ,18
CHS 615.6 ,18
HAR 63HA104,18
LV 110110.2 ,18
LV 110115.2 ,18
LV 110116.3 ,18
LV 110122.5 ,18
LV 110123.3 ,18
LV 110123.4 ,18
LV 110126.3 ,18
TR 805103,18
TR 805105,18
TR 805158,18
CHO 142.2 ,19
CHR 100.4 ,19
CHR 103.2 ,19
CHR 104.1 ,19
CHR 104.4 ,19
CHR 108.1 ,19
CHR 108.3 ,19
CHR 111.4 ,19
CHR 116.2 ,19
CHR 117.4 ,19
CHR 117.5 ,19
CHR 119.4 ,19
CHR 120.1 ,19
HAR 63HA402,19
LV 110113.3 ,19
LV 110122.1 ,19
TR 805158,19
CHR 104.3 ,20
CHR 106.4 ,20
CHR 111.4 ,20
CHR 113.6 ,20
CHR 116.2 ,20
CHR 117.1 ,20
CHR 120.3 ,20
CHR 135.3 ,20
HAR 63HA205,20
LV 110115.4 ,20
LV 110116.5 ,20
LV 110126.1 ,20
LV 110127.2 ,20
CHA 312.4 ,21
CHA 320.3 ,21
CHR 104.1 ,21
CHR 104.3 ,21
CHR 106.4 ,21
CHR 108.1 ,21
CHR 108.3 ,21
CHR 117.1 ,21
CHR 117.3 ,21
CHR 119.2 ,21
CHR 120.1 ,21
LV 110121.1 ,21
LV 110129.1 ,21
CHA 326.4 ,22
CHR 105.1 ,22
CHR 106.6 ,22
CHR 106.7 ,22
CHR 108.1 ,22
CHR 113.1 ,22
CHR 113.6 ,22
CHR 117.3 ,22
CHR 117.3 ,22
CHR 119.5 ,22
HAR 63HA205,22
LV 110112.1 ,22
CHA 315.2 ,23
CHA 316.3 ,23
CHA 326.4 ,23
CHR 102.3 ,23
CHR 103.2 ,23
CHR 106.4 ,23
CHR 108.3 ,23
CHR 113.6 ,23
CHR 117.3 ,23
HAR 63HA205,23
HAR 65EM203,23
TR 805155,23
CHR 100.3 ,24
CHR 103.6 ,24
CHR 105.3 ,24
CHR 112.3 ,24
CHR 118.1 ,24
HAR 63HA403,24
LV 110117.3 ,24
LV 110119.3 ,24
LV 110121.3 ,24
LV 110126.2 ,24
LV 110127.1 ,24
CHO 142.3 ,25
CHR 105.4 ,25
CHR 110.3 ,25
CHR 112.3 ,25
CHR 117.5 ,25
CHR 118.1 ,25
TR 801005,25
TR 805155,25
TR 805156,25
CHA 315.1 ,26
CHR 103.3 ,26
CHR 103.4 ,26
CHR 106.6 ,26
CHR 108.5 ,26
CHR 112.3 ,26
CHR 117.3 ,26
CHR 117.5 ,26
CHR 135.3 ,26
HAR 63HA302,26
HAR 63HA402,26
HAR 65EM205,26
LV 110118.1 ,26
LV 110122.2 ,26
TR 801501,26
CHA 316.4 ,27
CHO 142.3 ,27
CHR 103.6 ,27
CHR 105.3 ,27
CHR 106.6 ,27
CHR 108.2 ,27
CHR 108.5 ,27
CHR 117.2 ,27
HAR 63HA105,27
HAR 65EM206,27
TR 801501,27
TR 801506,27
TR 805102,27
CHA 312.3 ,28
CHA 326.1 ,28
CHO 142.3 ,28
CHR 101.2 ,28
CHR 101.3 ,28
CHR 103.2 ,28
CHR 103.4 ,28
CHR 110.4 ,28
CHR 115.3 ,28
CHR 117.5 ,28
CHR 120.1 ,28
CHR 135.5 ,28
LV 110119.7 ,28
LV 110124.1 ,28
TR 801006,28
TR 801203,28
TR 801501,28
CHA 312.1 ,29
CHA 320.5 ,29
CHR 100.2 ,29
CHR 103.3 ,29
CHR 105.4 ,29
CHR 106.6 ,29
CHR 108.4 ,29
CHR 108.5 ,29
CHR 113.1 ,29
CHR 115.3 ,29
LV 110117.5 ,29
TR 801232,29
TR 801237,29
TR 826250,29
CHA 312.4 ,30
CHA 316.4 ,30
CHA 319.5 ,30
CHA 322.6 ,30
CHR 105.3 ,30
CHR 108.2 ,30
CHR 108.4 ,30
CHR 110.4 ,30
CHR 115.3 ,30
CHR 120.1 ,30
CHR 100.2 ,31
CHR 103.2 ,31
CHR 106.7 ,31
CHR 108.2 ,31
CHR 110.3 ,31
CHR 110.4 ,31
CHR 117.2 ,31
CHR 119.1 ,31
LV 110113.4 ,31
LV 110123.2 ,31
TR 801505,31
TR 805103,31
CHA 316.5 ,32
CHR 106.7 ,32
CHR 110.3 ,32
CHR 113.1 ,32
CHR 119.1 ,32
HAR 63HA105,32
LV 110110.4 ,32
TR 801236,32
CHA 312.2 ,33
CHR 100.2 ,33
CHR 101.3 ,33
CHR 105.4 ,33
CHR 110.3 ,33
CHR 115.1 ,33
CHR 119.1 ,33
TR 801236,33
CHR 102.2 ,34
CHR 108.4 ,34
CHR 110.3 ,34
CHR 110.4 ,34
CHR 135.2 ,34
CHR 135.3 ,34
HAR 63HA303,34
LV 110121.2 ,34
TR 801612,34
TR 805152,34
CHA 316.5 ,35
CHR 100.1 ,35
CHR 101.1 ,35
CHR 101.2 ,35
CHR 117.2 ,35
CHR 135.2 ,35
HAR 65EM203,35
TR 801612,35
CHA 322.4 ,36
CHR 102.1 ,36
CHR 105.1 ,36
CHR 108.4 ,36
CHR 115.4 ,36
CHR 135.3 ,36
HAR 63HA106,36
TR 801003,36
CHR 101.1 ,37
CHR 105.1 ,37
CHR 116.1 ,37
CHR 135.2 ,37
HAR 63HA106,37
TR 801003,37
CHA 316.1 ,38
CHA 326.3 ,38
CHR 116.1 ,38
HAR 63HA104,38
TR 801613,38
CHA 316.1 ,39
CHA 322.1 ,39
CHR 101.4 ,39
HAR 63HA406,39
TR 801233,39
CHA 322.3 ,40
CHR 116.1 ,40
CHA 319.5 ,41
CHA 322.2 ,41
CHR 102.1 ,41
CHA 326.3 ,42
CHR 101.2 ,42
CHR 102.4 ,42
CHR 115.1 ,42
CHR 116.1 ,42
CHA 322.6 ,44
CHR 101.2 ,44
CHR 115.1 ,44
HAR 63HA303,44
TR 801610,44
CHA 316.2 ,45
HAR 63HA202,45
CHA 326.5 ,46
CHR 100.4 ,46
CHR 102.2 ,46
CHR 115.4 ,46
CHR 135.5 ,46
CHA 322.7 ,47
CHR 100.1 ,47
CHR 100.3 ,48
CHR 102.2 ,48
CHR 120.2 ,48
CHR 135.4 ,48
HAR 63HA203,48
TR 801001,48
CHR 102.4 ,49
CHR 118.4 ,49
CHR 120.2 ,49
CHR 100.1 ,50
CHR 102.2 ,50
CHR 120.2 ,50
TR 801610,50
CHR 102.4 ,51
CHR 118.4 ,51
TR 801610,51
CHR 100.4 ,52
CHR 135.5 ,52
CHR 100.1 ,53
CHR 105.2 ,53
CHR 118.4 ,53
CHR 100.3 ,54
CHR 101.4 ,54
CHR 102.3 ,54
CHR 115.4 ,54
CHR 100.4 ,55
CHR 100.4 ,56
HAR 63HA302,56
TR 801002,56
TR 801121,56
CHA 319.1 ,57
CHR 105.2 ,57
HAR 63HA302,57
TR 801002,57
TR 801125,57
CHA 316.2 ,58
CHR 102.3 ,58
CHR 135.5 ,58
CHR 100.3 ,59
CHR 101.4 ,59
CHR 135.4 ,59
CHR 100.3 ,60
CHR 102.3 ,60
CHR 115.2 ,60
CHR 115.4 ,60
CHR 135.5 ,60
CHA 319.2 ,61
CHR 100.3 ,62
CHR 101.4 ,62
TR 801120,62
CHR 105.2 ,63
CHR 115.4 ,63
CHA 315.4 ,65
CHR 115.2 ,65
CHR 115.4 ,65
CHR 135.1 ,65
CHA 320.1 ,66
CHR 135.4 ,68
CHR 135.1 ,73
CHR 115.2 ,74
CHA 320.2 ,76
CHR 105.2 ,77
CHR 135.1 ,77
CHR 135.4 ,78
CHR 135.1 ,79
CHR 135.1 ,81
HAR 63HA206,85
CHA 322.5 ,100
CHO 150.1 ,101
CHO 160.1 ,101
CHO 160.2 ,101
CHO 160.3 ,101
CHO 164.6 ,101
CHO 141.3 ,102
CHO 141.4 ,102
CHO 141.5 ,102
CHO 140.5 ,103
CHO 140.6 ,103
CHO 151.2 ,104
CHO 151.4 ,104
CHA 326.2 ,106
SLD 503.1,106
CHO 158.1 ,108
CHA 321.2 ,208
CHA 321.6 ,208
CHO 162.3 ,219
CHO 162.5 ,219
CHO 162.7 ,219
CHO 149.1 ,220
CHO 159.2 ,221
CHO 159.6 ,221
CHO 141.6 ,222
CHO 141.2 ,223
CHO 147.2 ,223
CHO 140.1 ,224
CHO 140.3 ,224
CHO 152.1 ,224
CHO 152.3 ,224
CHO 152.6 ,224
CHO 164.1 ,224
CHO 158.1 ,225
CHO 158.3 ,225
CHO 161.3 ,226
CHO 161.4 ,226
CHO 163.3 ,226
CHO 163.4 ,227
CHO 148.5 ,229
CHO 148.6 ,229
CHO 149.2 ,229
CHO 162.2 ,229
CHA 318.4 ,301
CHA 321.1 ,301
CHO 148.1 ,301
CHO 140.5 ,302
CHO 159.5 ,302
CHO 161.4 ,302
CHO 162.1 ,302
CHO 162.8 ,302
CHA 318.3 ,303
CHO 158.2 ,303
CHO 144.2 ,304
CHO 147.4 ,304
CHO 147.5 ,305
CHO 147.6 ,305
CHO 164.4 ,305
CHR 122.1 ,307
